0, 2.41421318, 1.2E-07, 1.2E-07, 2.9E-07, -2.9E-07, 1.00000978, 0.99999976, 2.41421318, 0, -1.2E-07, -1.2E-07, 0.4442822, 0.07125289, 1.70901716, 1.71000004, 
0, 1.70710623, 0.70711386, 0.70710677, 2.9E-07, -1.70710635, 0.70711356, 0.70710647, 2.41421318, 2E-07, -8E-08, -8E-08, 0.4442822, 0.47715998, 1.80311096, 1.80409288, 
0, 1.70710635, -0.70711368, -0.70710659, 2.9E-07, 1.70710588, 0.70711362, 0.70710653, 2.41421318, -2E-07, -8E-08, -8E-08, 0.4442822, -0.37639317, 1.76137149, 1.7623539, 
0, -1.70710635, 0.70711368, 0.70710659, 2.9E-07, -1.70710588, -0.70711362, -0.70710653, 2.41421318, 2E-07, 8E-08, 8E-08, 0.4442822, 0.37639317, 2.15666795, 2.15764618, 
0, -1.70710588, -0.70711374, -0.70710665, 2.9E-07, 1.70710611, -0.70711344, -0.70710635, 2.41421318, -2E-07, 8E-08, 8E-08, 0.4442822, -0.47715989, 2.11492848, 2.11590719, 
-2E-07, -2.41421318, -8E-08, -8E-08, -1.70710611, 2.9E-07, -0.70711368, -0.70710659, 1.70710647, 0, -0.70711374, -0.70710665, 0.74093151, -0.07125289, 2.00566959, 2.00664949, 
2E-07, -2.41421318, -8E-08, -8E-08, 1.70710635, 2.9E-07, -0.70711356, -0.70710647, 1.70710623, 0, 0.70711386, 0.70710677, -0.11262164, -0.07125289, 2.2659266, 2.26690388, 
1.20710671, 1.70710635, -0.50000483, -0.49999985, 1.70710623, -4.1E-07, 0.70711362, 0.70710653, 1.20710611, -1.70710647, -0.50000501, -0.5, -0.16900909, -0.26377159, 1.6754694, 1.67645264, 
1.70710623, -2.9E-07, -0.70711362, -0.70710653, 1.70710611, -2.9E-07, 0.70711368, 0.70710659, -4.1E-07, -2.41421294, 0, 0, -0.37639326, -0.44428214, 1.76137149, 1.7623539, 
1.70710576, -2.9E-07, 0.70711368, 0.70710659, -1.70710623, -2.9E-07, 0.7071135, 0.70710641, 0, -2.41421294, -1.7E-07, -1.7E-07, 0.47715989, -0.44428214, 1.80311096, 1.80409288, 
1.70710611, -4.1E-07, 0.70711368, 0.70710659, -1.20710635, -1.70710635, 0.50000465, 0.49999964, 1.20710623, -1.70710588, -0.50000495, -0.49999994, 0.574301, 0.11262167, 1.76287329, 1.7638557, 
